,Name,Author,Rating,Enrollment,Difficulty,URL
235,Research Data Management and Sharing,The University of Edinburgh,4.7,21k,Mixed,https://www.coursera.org/learn/data-management
236,The Truth About Cats and Dogs,The University of Edinburgh,4.8,43k,Mixed,https://www.coursera.org/learn/cats-and-dogs
237,Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,4.8,30k,Intermediate,https://www.coursera.org/learn/ecology-conservation
238,Transformation of the Global Food System,University of Copenhagen,4.8,5k,Beginner,https://www.coursera.org/learn/transformation-global-food-system
239,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,4.8,41k,Intermediate,https://www.coursera.org/learn/enfermedades-no-transmisibles
240,Whole genome sequencing of bacterial genomes - tools and applications,Technical University of Denmark (DTU),4.6,23k,Beginner,https://www.coursera.org/learn/wgs-bacteria
241,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,4.8,72k,Mixed,https://www.coursera.org/learn/astrobiology
242,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,4.8,30k,Mixed,https://www.coursera.org/learn/actualizacion-manejo-diabetes-tipo-2
243,Classical Sociological Theory,University of Amsterdam,4.8,62k,Mixed,https://www.coursera.org/learn/classical-sociological-theory
244,Paleontology: Ancient Marine Reptiles,University of Alberta,4.9,20k,Mixed,https://www.coursera.org/learn/ancient-marine-reptiles
245,Les Fondamentaux de la Négociation,ESSEC Business School,4.8,12k,Beginner,https://www.coursera.org/learn/fondamentaux-negociation
246,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,4.6,84k,Beginner,https://www.coursera.org/learn/correccion-estilo-variaciones
247,Scaling Operations: Linking Strategy and Execution,Northwestern University,4.5,13k,Mixed,https://www.coursera.org/learn/operations-strategy
248,Magic in the Middle Ages,Universitat de Barcelona,4.6,90k,Beginner,https://www.coursera.org/learn/magic-middle-ages
249,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,4.8,80k,Beginner,https://www.coursera.org/learn/social-innovation
250,Exploring Renewable Energy Schemes,University of Pennsylvania,4.8,7.6k,Beginner,https://www.coursera.org/learn/exploring-renewable-energy
251,Improving your statistical inferences,Eindhoven University of Technology,4.9,45k,Intermediate,https://www.coursera.org/learn/statistical-inferences
